Tag,UHF,RFID,ALT,ACTIVE,Lot,Pen,Zone,Date,DOF,Event Type,Diagnosis,Regimen,Drugs Given,To Pen,Last Go Home,Rider,Pull,Pull Count,Lung Score,Illness Severity,Temp,Weight,Risk,Sex,Hide Color,Total Charge,Status,
"LL1","","","","","LL3","107","","03/01/24","115","TRMT","RESPIRATORY","","NUFLOR 47.0 ml","107","","Spillman, Daisy","Yes","3","","1","105.4","776.0","Not Specified","Steer","","29.14","LIVE"
"","","","","","LL3","107","","03/01/24","115","TRMT","RESPIRATORY","R1","TREATMENT TAG 1.0 ea","107","","Spillman, Daisy","Yes","3","","1","105.4","776.0","Not Specified","Steer","","0.50","LIVE"
"","","","","","LL3","107","","03/01/24","115","TRMT","RESPIRATORY","R1","VITACHARGE 1.0 ds","107","","Spillman, Daisy","Yes","3","","1","105.4","776.0","Not Specified","Steer","","1.29","LIVE"
"","","","","","LL3","107","","12/27/23","50","MOVE","","","","107","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","BRAND 1.0 ea","","","","No","","","","","","Not Specified","Steer","","0.50","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","INFORCE 3 (NASAL) 1.0 ds","","","","No","","","","","","Not Specified","Steer","","1.64","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","REVALOR XS 1.0 ds","","","","No","","","","","","Not Specified","Steer","","8.18","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","VISION 7 SOMNUS WITH SPURT 1.0 ds","","","","No","","","","","","Not Specified","Steer","","1.02","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","MOVE","","","","SH1","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","301","","11/23/23","38","TRMT","RESPIRATORY","R2","VITACHARGE 1.0 ds","301","","Doty, Kyle","Yes","2","","1","104.7","585.0","Not Specified","Steer","","1.29","LIVE"
"","","","","","LL3","301","","11/23/23","38","TRMT","RESPIRATORY","","ZUPREVO 6.0 ml","301","","Doty, Kyle","Yes","2","","1","104.7","585.0","Not Specified","Steer","","25.20","LIVE"
"","","","","","LL3","301","","11/16/23","31","TRMT","RESPIRATORY","","NUFLOR 35.0 ml","301","","Spillman, Daisy","Yes","1","","","106.3","578.0","Not Specified","Steer","","21.70","LIVE"
"","","","","","LL3","301","","11/16/23","31","TRMT","RESPIRATORY","R1","TREATMENT TAG 1.0 ea","301","","Spillman, Daisy","Yes","1","","","106.3","578.0","Not Specified","Steer","","0.50","LIVE"
"","","","","","LL3","301","","11/16/23","31","TRMT","RESPIRATORY","R1","VITACHARGE 1.0 ds","301","","Spillman, Daisy","Yes","1","","","106.3","578.0","Not Specified","Steer","","1.29","LIVE"
"","","","","","LL3","301","","11/07/23","22","MOVE","","","","301","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","401","","10/23/23","7","MOVE","","","","401","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","402","","10/18/23","2","MOVE","","","","402","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","SO4","","10/18/23","-15","INTPROC","","","ID Tag 1.0 ea","","","","No","","","","","","Not Specified","Steer","","1.50","LIVE"
"","","","","","LL3","SO4","","10/18/23","-15","INTPROC","","113","INFORCE 3 (NASAL) 1.0 ds","","","","No","","","","","","Not Specified","Steer","","1.64","LIVE"
"","","","","","LL3","SO4","","10/18/23","-15","INTPROC","","113","IVOMEC (GEN PON) 28.0 ml","","","","No","","","","","","Not Specified","Steer","","0.56","LIVE"
"","","","","","LL3","SO4","","10/18/23","-15","INTPROC","","113","PYRAMID 5 PRESPONSE SQ 1.0 ds","","","","No","","","","","","Not Specified","Steer","","3.79","LIVE"
"","","","","","LL3","SO4","","10/18/23","-15","INTPROC","","113","SYNANTHIC 6.0 ml","","","","No","","","","","","Not Specified","Steer","","1.56","LIVE"
"","","","","","LL3","SO4","","10/17/23","-16","PROCESS","","","","SO4","","","No","","","","","602.0","Not Specified","Steer","","","LIVE"
"LL10","","","","","LL3","107","","12/27/23","50","MOVE","","","","107","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","BRAND 1.0 ea","","","","No","","","","","","Not Specified","Steer","","0.50","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","INFORCE 3 (NASAL) 1.0 ds","","","","No","","","","","","Not Specified","Steer","","1.64","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","REVALOR XS 1.0 ds","","","","No","","","","","","Not Specified","Steer","","8.18","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","VISION 7 SOMNUS WITH SPURT 1.0 ds","","","","No","","","","","","Not Specified","Steer","","1.02","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","MOVE","","","","SH1","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","301","","11/07/23","22","MOVE","","","","301","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","401","","10/23/23","7","MOVE","","","","401","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","402","","10/18/23","2","MOVE","","","","402","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","SO4","","10/18/23","-15","INTPROC","","","ID Tag 1.0 ea","","","","No","","","","","","Not Specified","Steer","","1.50","LIVE"
"","","","","","LL3","SO4","","10/18/23","-15","INTPROC","","113","INFORCE 3 (NASAL) 1.0 ds","","","","No","","","","","","Not Specified","Steer","","1.64","LIVE"
"","","","","","LL3","SO4","","10/18/23","-15","INTPROC","","113","IVOMEC (GEN PON) 28.0 ml","","","","No","","","","","","Not Specified","Steer","","0.56","LIVE"
"","","","","","LL3","SO4","","10/18/23","-15","INTPROC","","113","PYRAMID 5 PRESPONSE SQ 1.0 ds","","","","No","","","","","","Not Specified","Steer","","3.79","LIVE"
"","","","","","LL3","SO4","","10/18/23","-15","INTPROC","","113","SYNANTHIC 6.0 ml","","","","No","","","","","","Not Specified","Steer","","1.56","LIVE"
"","","","","","LL3","SO4","","10/17/23","-16","PROCESS","","","","SO4","","","No","","","","","577.0","Not Specified","Steer","","","LIVE"
"LL100","","","","","LL3","107","","12/27/23","50","MOVE","","","","107","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","BRAND 1.0 ea","","","","No","","","","","","Not Specified","Steer","","0.50","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","INFORCE 3 (NASAL) 1.0 ds","","","","No","","","","","","Not Specified","Steer","","1.64","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","REVALOR XS 1.0 ds","","","","No","","","","","","Not Specified","Steer","","8.18","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","VISION 7 SOMNUS WITH SPURT 1.0 ds","","","","No","","","","","","Not Specified","Steer","","1.02","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","MOVE","","","","SH1","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","301","","11/07/23","22","MOVE","","","","301","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","401","","11/04/23","19","MOVE","","","","401","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","SO4","","11/04/23","2","INTPROC","","","ID Tag 1.0 ea","","","","No","","","","","","Not Specified","Steer","","1.50","LIVE"
"","","","","","LL3","SO4","","11/04/23","2","INTPROC","","113","INFORCE 3 (NASAL) 1.0 ds","","","","No","","","","","","Not Specified","Steer","","1.64","LIVE"
"","","","","","LL3","SO4","","11/04/23","2","INTPROC","","113","IVOMEC (GEN PON) 25.0 ml","","","","No","","","","","","Not Specified","Steer","","0.50","LIVE"
"","","","","","LL3","SO4","","11/04/23","2","INTPROC","","113","PYRAMID 5 PRESPONSE SQ 1.0 ds","","","","No","","","","","","Not Specified","Steer","","3.79","LIVE"
"","","","","","LL3","SO4","","11/04/23","2","INTPROC","","113","SYNANTHIC 6.0 ml","","","","No","","","","","","Not Specified","Steer","","1.56","LIVE"
"","","","","","LL3","SO4","","11/03/23","1","PROCESS","","","","SO4","","","No","","","","","523.0","Not Specified","Steer","","","LIVE"
"LL101","","","","","LL3","107","","12/27/23","50","MOVE","","","","107","","","No","","","","","","Not Specified","Steer","","","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","BRAND 1.0 ea","","","","No","","","","","","Not Specified","Steer","","0.50","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","INFORCE 3 (NASAL) 1.0 ds","","","","No","","","","","","Not Specified","Steer","","1.64","LIVE"
"","","","","","LL3","SH1","","12/27/23","72","REIMPLANT","","","REVALOR XS 1.0 ds","","","","No","","","","","","Not Specified","Steer","","8.18","LIVE"
